"idhod","hodnota","duvernost","stapro_kod","stapro_txt","kat_cis","kat_kod","uzemiz_cis","uzemiz_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt"
"761095746","11643","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2101","Benešov"
"761218663","17462","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2102","Beroun"
"760997958","4802","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2103","Brandýs nad Labem-Stará Boleslav"
"761235639","70","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2104","Čáslav"
"761368320","37246","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2105","Černošice"
"761215749","","duverny","2654","Počet turistů","154","1","5898","17","2012","65","2106","Český Brod"
"760672564","1472","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2107","Dobříš"
"761132287","898","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2108","Hořovice"
"760716809","5273","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2109","Kladno"
"760873600","4597","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2110","Kolín"
"760876206","4023","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2111","Kralupy nad Vltavou"
"761097682","10619","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2112","Kutná Hora"
"760672565","253","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2113","Lysá nad Labem"
"761132284","8673","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2114","Mělník"
"760885922","21130","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2115","Mladá Boleslav"
"761219719","1614","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2116","Mnichovo Hradiště"
"761250309","","duverny","2654","Počet turistů","154","1","5898","17","2012","65","2117","Neratovice"
"761010483","5984","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2118","Nymburk"
"761118664","11390","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2119","Poděbrady"
"761236681","8835","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2120","Příbram"
"760708859","4106","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2121","Rakovník"
"760881042","34615","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2122","Říčany"
"761099593","2194","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2123","Sedlčany"
"760868689","3196","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2124","Slaný"
"761242722","2687","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2125","Vlašim"
"761115665","710","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2126","Votice"
