"idhod","hodnota","stapro_kod","pohlavi_cis","pohlavi_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","casref_od","casref_do","stapro_txt","pohlavi_txt","vek_txt","vuzemi_txt"
"763510311","33.8961301127982","5411","102","1","7700","410045610046000","65","1000","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Praha"
"763510312","17.06098331156","5411","102","1","7700","410065610066000","65","1000","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Praha"
"763510313","82.4327298406076","5411","102","2","7700","400000600001000","65","1000","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Praha"
"763510310","77.6228498325619","5411","102","1","7700","400000600001000","65","1000","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Praha"
"763510315","20.0694519430908","5411","102","2","7700","410065610066000","65","1000","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Praha"
"763510314","38.1427430997475","5411","102","2","7700","410045610046000","65","1000","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Praha"
"763510321","19.2932412358651","5411","102","2","7700","410065610066000","65","2101","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Benešov"
"763510319","81.8751690639708","5411","102","2","7700","400000600001000","65","2101","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Benešov"
"763510318","16.1061479355267","5411","102","1","7700","410065610066000","65","2101","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Benešov"
"763510316","76.0386779604607","5411","102","1","7700","400000600001000","65","2101","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Benešov"
"763510317","32.8235381321308","5411","102","1","7700","410045610046000","65","2101","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Benešov"
"763510320","37.6183503842705","5411","102","2","7700","410045610046000","65","2101","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Benešov"
"763510325","81.7746794826277","5411","102","2","7700","400000600001000","65","2102","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Beroun"
"763510326","37.4832975250116","5411","102","2","7700","410045610046000","65","2102","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Beroun"
"763510322","75.2618960383109","5411","102","1","7700","400000600001000","65","2102","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Beroun"
"763510327","19.529017464964","5411","102","2","7700","410065610066000","65","2102","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Beroun"
"763510323","31.8687713684535","5411","102","1","7700","410045610046000","65","2102","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Beroun"
"763510324","15.4165338834066","5411","102","1","7700","410065610066000","65","2102","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Beroun"
"763510331","81.2655584354315","5411","102","2","7700","400000600001000","65","2103","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Brandýs nad Labem-Stará Boleslav"
"763510329","32.6091892296069","5411","102","1","7700","410045610046000","65","2103","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Brandýs nad Labem-Stará Boleslav"
"763510333","18.7827939962833","5411","102","2","7700","410065610066000","65","2103","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Brandýs nad Labem-Stará Boleslav"
"763510328","76.4570751930196","5411","102","1","7700","400000600001000","65","2103","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Brandýs nad Labem-Stará Boleslav"
"763510332","37.0812424038388","5411","102","2","7700","410045610046000","65","2103","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Brandýs nad Labem-Stará Boleslav"
"763510330","16.1160457416996","5411","102","1","7700","410065610066000","65","2103","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Brandýs nad Labem-Stará Boleslav"
"763510337","80.2328004224248","5411","102","2","7700","400000600001000","65","2104","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Čáslav"
"763510336","15.2643403779302","5411","102","1","7700","410065610066000","65","2104","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Čáslav"
"763510335","31.8818676002631","5411","102","1","7700","410045610046000","65","2104","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Čáslav"
"763510339","18.2267571589723","5411","102","2","7700","410065610066000","65","2104","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Čáslav"
"763510334","75.5732550467769","5411","102","1","7700","400000600001000","65","2104","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Čáslav"
"763510338","36.2922384762283","5411","102","2","7700","410045610046000","65","2104","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Čáslav"
"763510343","82.680906859159","5411","102","2","7700","400000600001000","65","2105","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Černošice"
"763510344","38.5834639406486","5411","102","2","7700","410045610046000","65","2105","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Černošice"
"763510341","33.7688859161471","5411","102","1","7700","410045610046000","65","2105","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Černošice"
"763510342","16.7519531244474","5411","102","1","7700","410065610066000","65","2105","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Černošice"
"763510345","20.311407740732","5411","102","2","7700","410065610066000","65","2105","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Černošice"
"763510340","77.3685836068288","5411","102","1","7700","400000600001000","65","2105","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Černošice"
"763510346","75.0409914698583","5411","102","1","7700","400000600001000","65","2106","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Český Brod"
"763510348","15.3288381212046","5411","102","1","7700","410065610066000","65","2106","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Český Brod"
"763510350","37.1930969937316","5411","102","2","7700","410045610046000","65","2106","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Český Brod"
"763510349","80.8900348700451","5411","102","2","7700","400000600001000","65","2106","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Český Brod"
"763510351","18.9874983631445","5411","102","2","7700","410065610066000","65","2106","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Český Brod"
"763510347","31.7475574489787","5411","102","1","7700","410045610046000","65","2106","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Český Brod"
"763510355","81.1537847112062","5411","102","2","7700","400000600001000","65","2107","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Dobříš"
"763510354","15.3652309672659","5411","102","1","7700","410065610066000","65","2107","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Dobříš"
"763510352","76.0829109289889","5411","102","1","7700","400000600001000","65","2107","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Dobříš"
"763510353","32.458667615708","5411","102","1","7700","410045610046000","65","2107","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Dobříš"
"763510356","37.1669927231031","5411","102","2","7700","410045610046000","65","2107","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Dobříš"
"763510357","19.6116561277731","5411","102","2","7700","410065610066000","65","2107","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Dobříš"
"763510362","36.7251945250297","5411","102","2","7700","410045610046000","65","2108","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Hořovice"
"763510363","18.4365943775541","5411","102","2","7700","410065610066000","65","2108","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Hořovice"
"763510360","15.7305811318524","5411","102","1","7700","410065610066000","65","2108","2012-01-01","2016-12-31","Naděje dožití","muž","65 až 66 (více nebo rovno 65 a méně než 66)","Hořovice"
"763510359","31.7685538336482","5411","102","1","7700","410045610046000","65","2108","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Hořovice"
"763510358","75.25601546414","5411","102","1","7700","400000600001000","65","2108","2012-01-01","2016-12-31","Naděje dožití","muž","0 až 1 (více nebo rovno 0 a méně než 1)","Hořovice"
"763510361","80.9858939348445","5411","102","2","7700","400000600001000","65","2108","2012-01-01","2016-12-31","Naděje dožití","žena","0 až 1 (více nebo rovno 0 a méně než 1)","Hořovice"
"763510365","31.6711397012237","5411","102","1","7700","410045610046000","65","2109","2012-01-01","2016-12-31","Naděje dožití","muž","45 až 46 (více nebo rovno 45 a méně než 46)","Kladno"
"763510369","18.755906883203","5411","102","2","7700","410065610066000","65","2109","2012-01-01","2016-12-31","Naděje dožití","žena","65 až 66 (více nebo rovno 65 a méně než 66)","Kladno"
"763510368","36.4882990735865","5411","102","2","7700","410045610046000","65","2109","2012-01-01","2016-12-31","Naděje dožití","žena","45 až 46 (více nebo rovno 45 a méně než 46)","Kladno"
