"idhod","hodnota","duvernost","stapro_kod","stapro_txt","kat_cis","kat_kod","uzemiz_cis","uzemiz_kod","rok","uzemi_cis","uzemi_kod","uzemi_txt"
"761095746","11643","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2101","Benešov"
"761218663","17462","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2102","Beroun"
"760997958","4802","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2103","Brandýs nad Labem-Stará Boleslav"

"761235639","70","verejny","2654","Počet turistů","154","1","5898","17","2012","65","2104","Čáslav"
"761100642","3379","verejny","2654","Počet turistů","154","1","86","203","2012","65","2104","Čáslav"
"761117493","3449","verejny","2654","Počet turistů","154","1","","","2012","65","2104","Čáslav"
"761174319","162","verejny","2655","Počet přenocování turistů","154","1","5898","17","2012","65","2104","Čáslav"
"760469832","9729","verejny","2655","Počet přenocování turistů","154","1","86","203","2012","65","2104","Čáslav"
"761291008","9891","verejny","2655","Počet přenocování turistů","154","1","","","2012","65","2104","Čáslav"
"760973903","465","verejny","2654","Počet turistů","154","1","5898","17","2013","65","2104","Čáslav"
"760687980","4879","verejny","2654","Počet turistů","154","1","86","203","2013","65","2104","Čáslav"
"760689462","5344","verejny","2654","Počet turistů","154","1","","","2013","65","2104","Čáslav"
"760952700","1355","verejny","2655","Počet přenocování turistů","154","1","5898","17","2013","65","2104","Čáslav"
"760479942","11984","verejny","2655","Počet přenocování turistů","154","1","86","203","2013","65","2104","Čáslav"
"761154871","13339","verejny","2655","Počet přenocování turistů","154","1","","","2013","65","2104","Čáslav"
"761095103","482","verejny","2654","Počet turistů","154","1","5898","17","2014","65","2104","Čáslav"
"761122121","5189","verejny","2654","Počet turistů","154","1","86","203","2014","65","2104","Čáslav"
"760720516","5671","verejny","2654","Počet turistů","154","1","","","2014","65","2104","Čáslav"
"760807465","1372","verejny","2655","Počet přenocování turistů","154","1","5898","17","2014","65","2104","Čáslav"
"761056386","11720","verejny","2655","Počet přenocování turistů","154","1","86","203","2014","65","2104","Čáslav"
"760481406","13092","verejny","2655","Počet přenocování turistů","154","1","","","2014","65","2104","Čáslav"
"760998404","763","verejny","2654","Počet turistů","154","1","5898","17","2015","65","2104","Čáslav"
"761131664","5319","verejny","2654","Počet turistů","154","1","86","203","2015","65","2104","Čáslav"
"760683955","6082","verejny","2654","Počet turistů","154","1","","","2015","65","2104","Čáslav"
"760937477","1523","verejny","2655","Počet přenocování turistů","154","1","5898","17","2015","65","2104","Čáslav"
"761038574","11394","verejny","2655","Počet přenocování turistů","154","1","86","203","2015","65","2104","Čáslav"
"761052665","12917","verejny","2655","Počet přenocování turistů","154","1","","","2015","65","2104","Čáslav"
"759806150","818","verejny","2654","Počet turistů","154","1","5898","17","2016","65","2104","Čáslav"
"760377481","6025","verejny","2654","Počet turistů","154","1","86","203","2016","65","2104","Čáslav"
"759659013","6843","verejny","2654","Počet turistů","154","1","","","2016","65","2104","Čáslav"
"759569795","1853","verejny","2655","Počet přenocování turistů","154","1","5898","17","2016","65","2104","Čáslav"
"759995997","14919","verejny","2655","Počet přenocování turistů","154","1","86","203","2016","65","2104","Čáslav"
"759288161","16772","verejny","2655","Počet přenocování turistů","154","1","","","2016","65","2104","Čáslav"
