datum,okres_kod,okres,pohlavi_kod,pohlavi,typ_dnp,pocet_dnp
2015-01-01,OK.3100,Hlavní město Praha,M,Muž,Nemocenské,11144
2015-01-01,OK.3100,Hlavní město Praha,F,Žena,Nemocenské,19249
2015-01-01,OK.3100,Hlavní město Praha,M,Muž,Ošetřovné,1311
2015-01-01,OK.3100,Hlavní město Praha,F,Žena,Ošetřovné,6949
2015-01-01,OK.3100,Hlavní město Praha,M,Muž,Peněžitá pomoc v mateřství,88
2015-01-01,OK.3100,Hlavní město Praha,F,Žena,Peněžitá pomoc v mateřství,13495
2015-01-01,OK.3100,Hlavní město Praha,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,24
2015-01-01,OK.3201,Benešov,M,Muž,Nemocenské,639
2015-01-01,OK.3201,Benešov,F,Žena,Nemocenské,721
2015-01-01,OK.3201,Benešov,M,Muž,Ošetřovné,54
2015-01-01,OK.3201,Benešov,F,Žena,Ošetřovné,198
2015-01-01,OK.3201,Benešov,M,Muž,Peněžitá pomoc v mateřství,2
2015-01-01,OK.3201,Benešov,F,Žena,Peněžitá pomoc v mateřství,227
2015-01-01,OK.3201,Benešov,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,0
2015-01-01,OK.3202,Beroun,M,Muž,Nemocenské,532
2015-01-01,OK.3202,Beroun,F,Žena,Nemocenské,600
2015-01-01,OK.3202,Beroun,M,Muž,Ošetřovné,60
2015-01-01,OK.3202,Beroun,F,Žena,Ošetřovné,190
2015-01-01,OK.3202,Beroun,M,Muž,Peněžitá pomoc v mateřství,6
2015-01-01,OK.3202,Beroun,F,Žena,Peněžitá pomoc v mateřství,263
2015-01-01,OK.3202,Beroun,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,1
2015-01-01,OK.3203,Kladno,M,Muž,Nemocenské,922
2015-01-01,OK.3203,Kladno,F,Žena,Nemocenské,1248
2015-01-01,OK.3203,Kladno,M,Muž,Ošetřovné,66
2015-01-01,OK.3203,Kladno,F,Žena,Ošetřovné,302
2015-01-01,OK.3203,Kladno,M,Muž,Peněžitá pomoc v mateřství,4
2015-01-01,OK.3203,Kladno,F,Žena,Peněžitá pomoc v mateřství,615
2015-01-01,OK.3203,Kladno,F,Žena,Vyrovnávací příspěvěk v těhotenství a mateřství,3
2015-01-01,OK.3204,Kolín,M,Muž,Nemocenské,509
2015-01-01,OK.3204,Kolín,F,Žena,Nemocenské,472
2015-01-01,OK.3204,Kolín,M,Muž,Ošetřovné,77
2015-01-01,OK.3204,Kolín,F,Žena,Ošetřovné,162
